,mun_name,mun_employed,male_employed,fem_employed,mun_1sector,male_1sector,fem_1sector,mun_2sector,male_2sector,fem_2sector,mun_3sector,male_3sector,fem_3sector,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13
45,2854 NUSSHOF,63,41,22,15,10,5,28,23,5,20.0,8,12,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
46,2855 OLTINGEN,144,104,40,39,33,6,56,47,9,49.0,24,25,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
47,2856 ORMALINGEN,597,405,192,45,32,13,322,249,73,224.0,121,103,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
48,2857 RICKENBACH (BL),160,105,55,29,18,11,76,58,18,51.0,25,26,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
49,2858 ROTHENFLUH,265,184,81,40,29,11,130,104,26,93.0,50,43,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
50,2859 RUEMLINGEN,168,122,46,20,10,10,87,72,'15,61.0,40,21,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
51,2860 RUENENBERG,207,157,50,39,26,13,88,77,11,79.0,53,26,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
52,2861 SISSACH,2241,1430,811,99,65,34,1136,852,284,999.0,510,489,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
53,2862 TECKNAU,380,244,136,11,9,2,245,173,72,123.0,62,61,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
54,2863 TENNIKEN,331,217,114,30,20,10,188,142,46,111.0,55,56,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
55,2864 THUERNEN,462,304,158,33,20,13,229,170,59,198.0,113,85,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
56,2865 WENSLINGEN,259,171,88,74,46,28,97,77,20,88.0,48,40,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
57,2866 WINTERSINGEN,227,158,69,55,32,23,99,84,15,73.0,42,31,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
58,2867 WITTINSBURG,105,70,35,36,23,13,32,26,6,37.0,21,16,BASEL-LANDSCHAFT,108420,70198,38222,3460,2486,974,Unnamed: 7,47524,36759,10765,56795,30576,2621
