,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
20,6246 SAINT — LEONARD,1498,755,743,1433,712,721,65,43,22,957,4.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
21,6247 SAINT—LUC,212,115,97,193,100,93,19,15,4,910,9.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
22,6248 SIERRE,13050,6221,6829,10805,4989,5816,2245,1232,1013,828,17.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
23,6249 VENTHONE,634,313,321,591,290,301,43,23,20,932,6.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
24,6250 VEYRAS,1004,497,507,874,424,450,130,73,57,871,12.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
25,6251 VISSOIE,375,188,187,364,181,183,11,7,4,971,2.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
27,6761 ARPAZ,472,235,7'7,466,231,235,6,4,2,987,1.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
28,6263 GRIMISUAT,1691,876,815,1611,828,783,80,48,32,953,47.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
29,6264 SALINS,705,360,345,685,351,334,20,9,11,972,2.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
30,6265 SAVIESE,4097,2025,2072,4004,1977,2027,93,48,45,977,2.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
31,6266 SION,22877,10933,11944,19647,9156,10491,3230,1777,1453,859,141.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
32,6267 VEYSONNAZ,431,220,211,424,218,206,7,2,5,984,16.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
34,6281 BALTSCHIEDER,476,238,238,474,236,238,2,2,,996,4.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
35,6282 EISTEN,267,138,129,267,138,129,—,,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
36,6283 EMBD,351,186,165,351,186,165,—,,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
37,6285 GRAECHEN,1128,549,579,1124,547,577,4,2,2,996,4.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
38,6286 LALDEN,559,285,274,558,284,274,1,1,,998,2.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
39,6287 RANDA,367,184,183,367,184,183,—,—,,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
40,6288 SAAS ALMAGELL,330,166,164,330,166,164,—,—,,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
41,6289 SAAS BAL EN,443,214,229,440,212,228,3,2,1,993,7.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
42,6290 SAAS FEE,990,471,519,960,453,507,30,18,12,970,30.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
43,6291 SAAS GRUND,880,425,455,870,420,450,10,5,5,989,11.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
44,6292 ST.NIKLAUS,2036,1070,966,1979,1036,943,57,34,23,972,28.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
45,6293 STALDEN (VS),1104,534,570,1090,523,567,14,11,3,987,13.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
46,6294 STALDENRIED,521,255,266,521,255,266,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
47,6295 TAESCH,594,310,284,581,302,279,13,8,5,978,22.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
48,6296 TOERBEL,495,243,252,495,243,252,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
49,6297 VIS?,6383,3108,3275,5917,2835,3082,466,273,193,927,73.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
50,6298 VISPERTERMINEN,1373,695,678,1343,669,674,30,26,4,978,22.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
51,6299 ZENEGGEN,179,88,91,178,88,90,1,—,1,994,6.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
52,6300 ZERMATT,3548,1751,1797,2837,1327,1510,711,424,287,800,200.0,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
53,6215 MASSONGEX,888,448,440,810,403,407,78,45,33,912,8,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
