,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
1,2801 AESCH (BL),7954,3976,3978,6394,3124,3270,1560,852,708,804,196,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
2,2802 ALLSCHWIL,17952,8734,92_18,15643,7416,8227,2309,1318,991,871,129,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
3,2803 ARLESHEIM,8224,3839,4335,6654,3094,3560,1570,795,775,809,191,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
4,2805 BIEL -BENKEN,1892,948,944,1767,872,895,125,76,49,934,66,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
5,2806 BINNINGEN,14195,6863,7332,12174,5719,6455,2021,1144,877,858,142,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
6,2807 BIRSFELDEN,12543,6139,6404,10487,4973,5514,2056,1166,890,836,164,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
7,2808 BOTTMINGEN,4870,2330,2540,4210,1978,2232,660,352,308,864,136,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
8,2809 ETTINGEN,4079,2081,1998,3581,1791,1790,498,290,208,878,122,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
9,2810 MUENCHENSTEIN,11002,5461,5541,9531,4615,4916,1471,846,625,866,134,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
10,2811 MUTT ENZ,16911,8494,8417,14508,7119,7389,2403,1375,1028,858,142,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
11,2812 OBERWIL (BL),7646,3797,3849,6774,3298,3476,872,499,373,886,114,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
12,2813 PFEFFINGEN,1289,674,615,1210,627,583,79,47,32,939,61,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
13,2814 REINACH (BL),17813,8859,8954,15681,7628,8053,2132,1231,901,880,120,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
14,2815 SCHOENENBUCH,754,391,363,676,350,326,78,41,37,897,103,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
15,2816 THERWIL,7311,3663,3648,6667,3291,3376,644,372,272,912,88,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
17,2821 ARISDORF,1006,523,483,953,491,462,53,32,21.,947,53,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
18,2822 AUGST,836,451,385,727,374,353,109,77,32,870,130,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
19,2823 BUBENDORF,2218,1148,1070,1988,1011,977,230,137,93,896,104,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
20,2824 FRENKENDORF,5438,2736,2702,4456,2194,2262,982,542,440,819,181,BASEL-LANDSCHAFT,219822,109311,110511,188708,91650,97058,31114,17661,13453,858,142,1
