,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
10,3832 GRONO,831,416,415,581,263,318,250,97,699,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
11,3833 LEGGIA,114,54,60,92,43,49,22,11,807,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
12,3834 ROVEREDO (GR),1997,986,1011,1647,782,865,350,146,825,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
13,3835 SAN VITTORE,555,267,288,469,216,253,86,35,845,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
14,3836 VERDABBIO,156,70,86,132,58,74,24,12,846,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
17,3841 FULDERA,100,49,51,99,48,51,1,—,990,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
18,3842 LUE,56,34,22,54,32,22,2,,964,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
19,3843 MUESTAIR,707,354,353,665,331,334,42,19,941,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
20,3844 SANTA MARIA I.M.,384,171,213,354,160,194,30,19,922,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
21,3845 TSCHIERV,134,66,68,128,62,66,6,2,955,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
22,3846 VALCHAVA,218,112,106,214,110,104,4,2,982,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
25,3851 DAVOS,10468,4889,5579,8238,3728,4510,2230,1069,787,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
27,3861 FIDERIS,492,255,237,487,251,236,5,1,990,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
28,3862 FURNA,181,96,85,181,96,85,—,—,1000,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
29,3863 JENAZ,1028,520,508,991,490,501,37,7,964,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
31,3871 KLOSTERS—SERNEUS,3487,1658,1829,3163,1455,1708,324,121,907,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
33,3881 CONTERS IM PRAETTIGA,179,96,83,174,92,82,5,1,972,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
34,3882 KUEBLIS,780,388,392,710,342,368,70,24,910,,,GRAUBUENDEN,164641,82173,82468,144731,69089,74842,19910,12284,7626,879,1,1
