,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
11,4216,62,447,7,358,1174,3540,16,—,360,2008,2648,357,7.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2422 BALSTHAL,SOLOTHURN,1
12,92,11,—,—,5,53,50,—,—,5,54,48,4,,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2423 GAENSBRUNNEN,SOLOTHURN,1
13,574,8,—,—,5,106,478,—,—,3,285,253,39,1.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2424 HERBETSWIL,SOLOTHURN,1
14,547,5,14,—,4,176,376,3,—,15,238,287,34,1.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2425 HOLDERBANK (S0),SOLOTHURN,1
15,1352,11,5,—,12,174,1184,4,—,18,620,660,86,1.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2426 LAUPERSDORF,SOLOTHURN,1
16,1053,9,5,3,7,196,862,—,—,19,487,526,56,,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2427 MATZENDORF,SOLOTHURN,1
17,2294,9,47,—,36,152,2204,—,—,30,1171,1061,145,,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2428 MUEMLISWIL—RAMISWIL,SOLOTHURN,1
18,1070,11,10,6,17,325,756,6,—,27,459,555,88,1.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2429 WELSCHENROHR,SOLOTHURN,1
19,5608,37,59,5,57,5015,538,17,—,196,2519,2758,416,7.0,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,BUCHEGGBERG,SOLOTHURN,1
20,100,2,—,—,—,100,—,—,—,2,39,52,10,,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2441 AETIGKOFEN,SOLOTHURN,1
21,239,1,1,—,1,220,16,—,—,6,110,105,25,,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2442 AETINGEN,SOLOTHURN,1
22,92,—,—,—,—,80,9,—,—,3,44,36,10,,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2443 BALM BEI MESSEN,SOLOTHURN,1
23,169,1,2,1,14,157,22,—,—,8,75,94,16,,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2444 BIBERN (50),SOLOTHURN,1
24,223,2,—,—,1,210,12,,,4,95,108,17,,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2445 BIEZWIL,SOLOTHURN,1
25,136,1,1,—,1,123,7,1,,8,55,72,12,,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2446 BRUEGGLEN,SOLOTHURN,1
26,155,—,—,—,—,150,1,—,—,4,61,74,18,,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2447 BRUNNENTHAL,SOLOTHURN,1
27,69,—,—,—,—,55,8,—,,6,29,30,9,,189745,3181,14810,346,10020,79652,119787,3017,65,15581,92433,106924,13022,5723,2448 GAECHLIWIL,SOLOTHURN,1
