,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,mun_name,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13
50,262,1,62,2,1,244,78,—,,6,138,171,14,,2859 RUEMLINGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
51,473,3,4,1,—,416,49,2,—,14,207,239,32,,2860 RUENENBERG,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
52,3885,49,423,8,199,3101,1223,14,1,225,1913,2273,253,1.0,2861 SISSACH,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
53,529,5,55,5,80,420,189,2,,63,277,356,32,,2862 TECKNAU,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
54,636,7,7,1,17,566,72,1,,29,295,331,26,,2863 TENNIKEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
55,839,7,69,2,37,657,249,2,1,45,410,477,55,,2864 THUERNEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
56,503,—,—,—,2,472,28,—,,5,229,249,24,,2865 WENSLINGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
57,436,3,2,—,—,408,15,—,,18,194,210,26,,2866 WINTERSINGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
58,220,1,3,1,17,210,18,,—,14,112,112,14,,2867 WITTINSBURG,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
59,425,1,14,1,1,390,40,,—,12,194,223,22,,2868 ZEGLINGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
60,1343,11,139,—,23,1131,308,1,,76,642,782,68,,2869 ZUNZGEN,BASEL-LANDSCHAFT,5341,14857,470,12034,119266,79817,1112,389,19238,91739,111520,10023,65
