,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,mun_name,can_name,1,2,3,4,5,6,7,8,9,10,11,12,13
48,1,78,-,,,2,75,-,-,2,39,34,5,,2048 LA VOUNAISE,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
49,2,139,1,,-,2,139,-,-,1,66,62,14,,2049 VUISSENS,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
50,449,12980,86,3,311,716,12672,1,-,440,6562,6324,801,14.0,LA GLANE,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
51,11,133,-,,4,30,107,-,-,11,74,65,5,,2061 AUBORANGES,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
52,8,113,4,,-,9,101,-,-,15,64,56,5,,2062 BERLENS,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
53,6,375,1,1,16,15,370,-,-,14,212,150,33,,2063 BILLENS,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
54,-,56,,-,-,-,54,-,-,2,25,30,1,,2064 BIONNENS,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
55,4,91,,,-,-,95,-,-,-,47,44,4,,2065 BLESSENS,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
56,3,125,2,-,-,11,113,-,-,6,57,59,11,,2066 CHAPELLE (GLANE),FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
57,2,326,-,-,2,3,320,-,-,7,180,127,23,,2067 LE CHATELARD,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
58,7,334,,,1,25,309,-,-,8,161,159,18,,2068 CHATONNAYE,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
59,13,290,2,-,-,20,276,-,-,9,148,138,16,,2069 CHAVANNES—LES—FORTS,FRIBOURG,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326
